Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 19 2014,7:00 pm,Dallas Mavericks,105,Washington Wizards,102,Box Score,,16374,
Thu Nov 20 2014,8:00 pm,Los Angeles Clippers,110,Miami Heat,93,Box Score,,19685,
Thu Nov 20 2014,10:30 pm,Chicago Bulls,88,Sacramento Kings,103,Box Score,,17317,
Fri Nov 21 2014,7:30 pm,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,16517,
Fri Nov 21 2014,7:00 pm,Orlando Magic,105,Charlotte Hornets,100,Box Score,,18126,
Fri Nov 21 2014,8:30 pm,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,20353,
Fri Nov 21 2014,9:00 pm,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,15232,
Fri Nov 21 2014,10:30 pm,Utah Jazz,88,Golden State Warriors,101,Box Score,,19596,
Fri Nov 21 2014,8:00 pm,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,17712,
Fri Nov 21 2014,8:00 pm,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,12414,
Fri Nov 21 2014,8:00 pm,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,18203,
Fri Nov 21 2014,7:00 pm,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,16789,
Fri Nov 21 2014,10:30 pm,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,19866,
Fri Nov 21 2014,7:30 pm,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,19800,
Fri Nov 21 2014,8:00 pm,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,20356,
Sat Nov 22 2014,7:30 pm,Toronto Raptors,110,Cleveland Cavaliers,93,Box Score,,20562,
Sat Nov 22 2014,8:00 pm,Dallas Mavericks,92,Houston Rockets,95,Box Score,,18244,
Sat Nov 22 2014,7:00 pm,Phoenix Suns,106,Indiana Pacers,83,Box Score,,16870,
Sat Nov 22 2014,8:30 pm,Washington Wizards,111,Milwaukee Bucks,100,Box Score,,14254,
Sat Nov 22 2014,8:00 pm,Sacramento Kings,113,Minnesota Timberwolves,101,Box Score,,13191,
Sat Nov 22 2014,7:30 pm,Philadelphia 76ers,83,New York Knicks,91,Box Score,,19812,
Sat Nov 22 2014,7:00 pm,Miami Heat,99,Orlando Magic,92,Box Score,,18846,
Sat Nov 22 2014,8:30 pm,Brooklyn Nets,87,San Antonio Spurs,99,Box Score,,18581,
Sat Nov 22 2014,9:00 pm,New Orleans Pelicans,106,Utah Jazz,94,Box Score,,18452,
Sun Nov 23 2014,6:00 pm,Portland Trail Blazers,94,Boston Celtics,88,Box Score,,16692,
