Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Jan 26 2015,8:00 pm,Minnesota Timberwolves,84,Oklahoma City Thunder,92,Box Score,,18203,
Mon Jan 26 2015,9:00 pm,Boston Celtics,99,Utah Jazz,90,Box Score,,18947,
Tue Jan 27 2015,8:30 pm,Memphis Grizzlies,109,Dallas Mavericks,90,Box Score,,20160,
Tue Jan 27 2015,7:30 pm,Cleveland Cavaliers,103,Detroit Pistons,95,Box Score,,18178,
Tue Jan 27 2015,10:30 pm,Chicago Bulls,113,Golden State Warriors,111,Box Score,OT,19596,
Tue Jan 27 2015,7:00 pm,Toronto Raptors,104,Indiana Pacers,91,Box Score,,16204,
Tue Jan 27 2015,10:30 pm,Washington Wizards,98,Los Angeles Lakers,92,Box Score,,18997,
Tue Jan 27 2015,7:30 pm,Milwaukee Bucks,109,Miami Heat,102,Box Score,,19789,
Wed Jan 28 2015,8:00 pm,Brooklyn Nets,102,Atlanta Hawks,113,Box Score,,18047,
Wed Jan 28 2015,7:00 pm,Portland Trail Blazers,94,Cleveland Cavaliers,99,Box Score,,20562,
Wed Jan 28 2015,8:00 pm,Dallas Mavericks,94,Houston Rockets,99,Box Score,,18237,
Wed Jan 28 2015,8:00 pm,Boston Celtics,98,Minnesota Timberwolves,110,Box Score,,11434,
Wed Jan 28 2015,8:00 pm,Denver Nuggets,93,New Orleans Pelicans,85,Box Score,,16055,
Wed Jan 28 2015,8:00 pm,Oklahoma City Thunder,92,New York Knicks,100,Box Score,,19812,
Wed Jan 28 2015,7:00 pm,Detroit Pistons,69,Philadelphia 76ers,89,Box Score,,11213,
Wed Jan 28 2015,10:30 pm,Washington Wizards,98,Phoenix Suns,106,Box Score,,16209,
Wed Jan 28 2015,8:30 pm,Charlotte Hornets,86,San Antonio Spurs,95,Box Score,,18581,
Wed Jan 28 2015,7:30 pm,Sacramento Kings,102,Toronto Raptors,119,Box Score,,19800,
Wed Jan 28 2015,9:00 pm,Los Angeles Clippers,94,Utah Jazz,89,Box Score,,16322,
Thu Jan 29 2015,7:00 pm,New York Knicks,82,Indiana Pacers,103,Box Score,,15665,
Thu Jan 29 2015,10:30 pm,Chicago Bulls,118,Los Angeles Lakers,123,Box Score,2OT,18997,
Thu Jan 29 2015,8:00 pm,Denver Nuggets,69,Memphis Grizzlies,99,Box Score,,16736,
Thu Jan 29 2015,7:00 pm,Milwaukee Bucks,115,Orlando Magic,100,Box Score,,16071,
Fri Jan 30 2015,7:30 pm,Portland Trail Blazers,99,Atlanta Hawks,105,Box Score,,19018,
Fri Jan 30 2015,7:30 pm,Houston Rockets,93,Boston Celtics,87,Box Score,,17675,
Fri Jan 30 2015,7:30 pm,Toronto Raptors,127,Brooklyn Nets,122,Box Score,OT,17062,
Fri Jan 30 2015,7:30 pm,Sacramento Kings,90,Cleveland Cavaliers,101,Box Score,,20562,
Fri Jan 30 2015,8:00 pm,Dallas Mavericks,93,Miami Heat,72,Box Score,,19823,
Fri Jan 30 2015,8:00 pm,Los Angeles Clippers,103,New Orleans Pelicans,108,Box Score,,17932,
Fri Jan 30 2015,7:00 pm,Minnesota Timberwolves,94,Philadelphia 76ers,103,Box Score,,14333,
Fri Jan 30 2015,10:30 pm,Chicago Bulls,93,Phoenix Suns,99,Box Score,,18055,
Fri Jan 30 2015,9:00 pm,Golden State Warriors,100,Utah Jazz,110,Box Score,,19295,
Sat Jan 31 2015,7:30 pm,Philadelphia 76ers,85,Atlanta Hawks,91,Box Score,,19006,
Sat Jan 31 2015,9:00 pm,Charlotte Hornets,104,Denver Nuggets,86,Box Score,,13302,
Sat Jan 31 2015,7:30 pm,Houston Rockets,101,Detroit Pistons,114,Box Score,,18213,
Sat Jan 31 2015,10:30 pm,Phoenix Suns,87,Golden State Warriors,106,Box Score,,19596,
Sat Jan 31 2015,7:00 pm,Sacramento Kings,99,Indiana Pacers,94,Box Score,,18165,
Sat Jan 31 2015,8:00 pm,Oklahoma City Thunder,74,Memphis Grizzlies,85,Box Score,,18119,
Sat Jan 31 2015,8:30 pm,Portland Trail Blazers,88,Milwaukee Bucks,95,Box Score,,18717,
Sat Jan 31 2015,8:00 pm,Cleveland Cavaliers,106,Minnesota Timberwolves,90,Box Score,,19562,
Sat Jan 31 2015,7:00 pm,Dallas Mavericks,108,Orlando Magic,93,Box Score,,17626,
Sat Jan 31 2015,9:00 pm,Los Angeles Clippers,105,San Antonio Spurs,85,Box Score,,18581,
Sat Jan 31 2015,7:00 pm,Toronto Raptors,120,Washington Wizards,116,Box Score,OT,20356,
Sun Feb 1 2015,1:00 pm,Miami Heat,83,Boston Celtics,75,Box Score,,17366,
Sun Feb 1 2015,2:00 pm,Los Angeles Lakers,80,New York Knicks,92,Box Score,,19812,
Mon Feb 2 2015,7:30 pm,Los Angeles Clippers,100,Brooklyn Nets,102,Box Score,,16037,
Mon Feb 2 2015,7:00 pm,Philadelphia 76ers,84,Cleveland Cavaliers,97,Box Score,,20562,
Mon Feb 2 2015,8:30 pm,Minnesota Timberwolves,94,Dallas Mavericks,100,Box Score,,19989,
Mon Feb 2 2015,8:00 pm,Atlanta Hawks,100,New Orleans Pelicans,115,Box Score,,15487,
Mon Feb 2 2015,8:00 pm,Orlando Magic,97,Oklahoma City Thunder,104,Box Score,,18203,
Mon Feb 2 2015,9:00 pm,Memphis Grizzlies,102,Phoenix Suns,101,Box Score,,17199,
Mon Feb 2 2015,7:30 pm,Milwaukee Bucks,82,Toronto Raptors,75,Box Score,,19800,
Mon Feb 2 2015,7:00 pm,Charlotte Hornets,92,Washington Wizards,88,Box Score,,15816,
Tue Feb 3 2015,7:30 pm,Miami Heat,91,Detroit Pistons,108,Box Score,,12768,
Tue Feb 3 2015,7:30 pm,Boston Celtics,108,New York Knicks,97,Box Score,,19812,
Tue Feb 3 2015,7:00 pm,Denver Nuggets,98,Philadelphia 76ers,105,Box Score,,10290,
Tue Feb 3 2015,10:00 pm,Utah Jazz,102,Portland Trail Blazers,103,Box Score,,19441,
Tue Feb 3 2015,10:00 pm,Golden State Warriors,121,Sacramento Kings,96,Box Score,,17317,
Wed Feb 4 2015,7:30 pm,Washington Wizards,96,Atlanta Hawks,105,Box Score,,18047,
Wed Feb 4 2015,7:30 pm,Denver Nuggets,100,Boston Celtics,104,Box Score,,15126,
Wed Feb 4 2015,10:30 pm,Dallas Mavericks,114,Golden State Warriors,128,Box Score,,19596,
Wed Feb 4 2015,8:00 pm,Chicago Bulls,90,Houston Rockets,101,Box Score,,18325,
Wed Feb 4 2015,7:00 pm,Detroit Pistons,109,Indiana Pacers,114,Box Score,,15892,
Wed Feb 4 2015,8:00 pm,Los Angeles Lakers,105,Milwaukee Bucks,113,Box Score,OT,12544,
Wed Feb 4 2015,8:00 pm,Miami Heat,101,Minnesota Timberwolves,102,Box Score,,11517,
Wed Feb 4 2015,8:00 pm,Oklahoma City Thunder,102,New Orleans Pelicans,91,Box Score,,17156,
Wed Feb 4 2015,8:30 pm,Orlando Magic,103,San Antonio Spurs,110,Box Score,,18581,
Wed Feb 4 2015,7:30 pm,Brooklyn Nets,109,Toronto Raptors,93,Box Score,,19800,
Wed Feb 4 2015,9:00 pm,Memphis Grizzlies,100,Utah Jazz,90,Box Score,,19911,
Thu Feb 5 2015,7:00 pm,Washington Wizards,87,Charlotte Hornets,94,Box Score,,17019,
Thu Feb 5 2015,8:00 pm,Los Angeles Clippers,94,Cleveland Cavaliers,105,Box Score,,20562,
Thu Feb 5 2015,10:30 pm,Phoenix Suns,87,Portland Trail Blazers,108,Box Score,,19488,
Thu Feb 5 2015,10:00 pm,Dallas Mavericks,101,Sacramento Kings,78,Box Score,,16993,
Fri Feb 6 2015,7:30 pm,Golden State Warriors,116,Atlanta Hawks,124,Box Score,,19225,
Fri Feb 6 2015,7:30 pm,Philadelphia 76ers,96,Boston Celtics,107,Box Score,,18322,
Fri Feb 6 2015,7:00 pm,New York Knicks,88,Brooklyn Nets,92,Box Score,,17732,
Fri Feb 6 2015,7:30 pm,Denver Nuggets,88,Detroit Pistons,98,Box Score,,17035,
Fri Feb 6 2015,8:00 pm,Milwaukee Bucks,111,Houston Rockets,117,Box Score,,18239,
Fri Feb 6 2015,7:00 pm,Cleveland Cavaliers,99,Indiana Pacers,103,Box Score,,18165,
Fri Feb 6 2015,8:00 pm,Memphis Grizzlies,89,Minnesota Timberwolves,90,Box Score,,14388,
Fri Feb 6 2015,8:00 pm,New Orleans Pelicans,116,Oklahoma City Thunder,113,Box Score,,18203,
Fri Feb 6 2015,7:00 pm,Los Angeles Lakers,97,Orlando Magic,103,Box Score,OT,16206,
Fri Feb 6 2015,9:00 pm,Utah Jazz,93,Phoenix Suns,100,Box Score,,18055,
Fri Feb 6 2015,9:30 pm,Miami Heat,85,San Antonio Spurs,98,Box Score,,18581,
Fri Feb 6 2015,7:00 pm,Los Angeles Clippers,107,Toronto Raptors,123,Box Score,,19800,
Sat Feb 7 2015,8:30 pm,Portland Trail Blazers,101,Dallas Mavericks,111,Box Score,OT,20398,
Sat Feb 7 2015,8:30 pm,Boston Celtics,93,Milwaukee Bucks,96,Box Score,,16470,
Sat Feb 7 2015,7:00 pm,Chicago Bulls,107,New Orleans Pelicans,72,Box Score,,18402,
Sat Feb 7 2015,7:30 pm,Golden State Warriors,106,New York Knicks,92,Box Score,,19812,
Sat Feb 7 2015,7:30 pm,Charlotte Hornets,81,Philadelphia 76ers,89,Box Score,,16739,
Sat Feb 7 2015,9:00 pm,Sacramento Kings,90,Utah Jazz,102,Box Score,,19128,
Sat Feb 7 2015,7:00 pm,Brooklyn Nets,77,Washington Wizards,114,Box Score,,20356,
Sun Feb 8 2015,6:00 pm,Indiana Pacers,103,Charlotte Hornets,102,Box Score,,16991,
Sun Feb 8 2015,3:30 pm,Los Angeles Lakers,105,Cleveland Cavaliers,120,Box Score,,20562,
Sun Feb 8 2015,6:00 pm,Minnesota Timberwolves,112,Detroit Pistons,101,Box Score,,16075,
Sun Feb 8 2015,7:00 pm,Portland Trail Blazers,109,Houston Rockets,98,Box Score,,18243,
Sun Feb 8 2015,6:00 pm,Atlanta Hawks,88,Memphis Grizzlies,94,Box Score,,18119,
Sun Feb 8 2015,1:00 pm,Los Angeles Clippers,108,Oklahoma City Thunder,131,Box Score,,18203,
Sun Feb 8 2015,6:00 pm,Chicago Bulls,98,Orlando Magic,97,Box Score,,16944,
Sun Feb 8 2015,9:00 pm,Phoenix Suns,83,Sacramento Kings,85,Box Score,,17013,
Sun Feb 8 2015,7:00 pm,San Antonio Spurs,82,Toronto Raptors,87,Box Score,,19800,
Mon Feb 9 2015,8:30 pm,Los Angeles Clippers,115,Dallas Mavericks,98,Box Score,,20082,
Mon Feb 9 2015,9:00 pm,Oklahoma City Thunder,124,Denver Nuggets,114,Box Score,,16511,
Mon Feb 9 2015,7:00 pm,San Antonio Spurs,95,Indiana Pacers,93,Box Score,,16691,
Mon Feb 9 2015,7:30 pm,New York Knicks,95,Miami Heat,109,Box Score,,19851,
Mon Feb 9 2015,8:00 pm,Brooklyn Nets,97,Milwaukee Bucks,103,Box Score,,12431,
Mon Feb 9 2015,8:00 pm,Atlanta Hawks,117,Minnesota Timberwolves,105,Box Score,,10987,
Mon Feb 9 2015,8:00 pm,Utah Jazz,100,New Orleans Pelicans,96,Box Score,,15321,
Mon Feb 9 2015,7:00 pm,Golden State Warriors,89,Philadelphia 76ers,84,Box Score,,16247,
Mon Feb 9 2015,7:00 pm,Orlando Magic,80,Washington Wizards,96,Box Score,,16031,
Tue Feb 10 2015,8:00 pm,Sacramento Kings,86,Chicago Bulls,104,Box Score,,21560,
Tue Feb 10 2015,7:00 pm,Detroit Pistons,106,Charlotte Hornets,78,Box Score,,15876,
Tue Feb 10 2015,10:30 pm,Denver Nuggets,106,Los Angeles Lakers,96,Box Score,,18466,
Tue Feb 10 2015,8:00 pm,Brooklyn Nets,86,Memphis Grizzlies,95,Box Score,,16901,
Tue Feb 10 2015,8:00 pm,Houston Rockets,127,Phoenix Suns,118,Box Score,,17071,
Wed Feb 11 2015,7:30 pm,Atlanta Hawks,88,Boston Celtics,89,Box Score,,16083,
Wed Feb 11 2015,8:00 pm,Miami Heat,93,Cleveland Cavaliers,113,Box Score,,20562,
Wed Feb 11 2015,8:30 pm,Utah Jazz,82,Dallas Mavericks,87,Box Score,,19947,
Wed Feb 11 2015,7:30 pm,San Antonio Spurs,104,Detroit Pistons,87,Box Score,,14617,
Wed Feb 11 2015,10:30 pm,Houston Rockets,95,Los Angeles Clippers,110,Box Score,,19060,
Wed Feb 11 2015,8:00 pm,Sacramento Kings,103,Milwaukee Bucks,111,Box Score,,13046,
Wed Feb 11 2015,8:00 pm,Golden State Warriors,94,Minnesota Timberwolves,91,Box Score,,14303,
Wed Feb 11 2015,8:00 pm,Indiana Pacers,106,New Orleans Pelicans,93,Box Score,,17074,
Wed Feb 11 2015,8:00 pm,Memphis Grizzlies,89,Oklahoma City Thunder,105,Box Score,,18203,
Wed Feb 11 2015,7:00 pm,New York Knicks,83,Orlando Magic,89,Box Score,,15473,
Wed Feb 11 2015,10:00 pm,Los Angeles Lakers,86,Portland Trail Blazers,102,Box Score,,19585,
Wed Feb 11 2015,7:30 pm,Washington Wizards,93,Toronto Raptors,95,Box Score,,19800,
Thu Feb 12 2015,8:00 pm,Cleveland Cavaliers,98,Chicago Bulls,113,Box Score,,21920,
Thu Feb 19 2015,10:30 pm,San Antonio Spurs,115,Los Angeles Clippers,119,Box Score,,19358,
Thu Feb 19 2015,8:00 pm,Dallas Mavericks,89,Oklahoma City Thunder,104,Box Score,,18203,
Fri Feb 20 2015,7:30 pm,Toronto Raptors,105,Atlanta Hawks,80,Box Score,,18968,
Fri Feb 20 2015,8:30 pm,Houston Rockets,100,Dallas Mavericks,111,Box Score,,20389,
Fri Feb 20 2015,7:30 pm,Chicago Bulls,91,Detroit Pistons,100,Box Score,,19053,
Fri Feb 20 2015,10:30 pm,San Antonio Spurs,99,Golden State Warriors,110,Box Score,,19596,
Fri Feb 20 2015,10:30 pm,Brooklyn Nets,114,Los Angeles Lakers,105,Box Score,,18997,
Fri Feb 20 2015,8:30 pm,Denver Nuggets,81,Milwaukee Bucks,89,Box Score,,16110,
Fri Feb 20 2015,8:00 pm,Phoenix Suns,109,Minnesota Timberwolves,111,Box Score,,14077,
Fri Feb 20 2015,7:30 pm,Miami Heat,111,New York Knicks,87,Box Score,,19812,
Fri Feb 20 2015,7:00 pm,New Orleans Pelicans,84,Orlando Magic,95,Box Score,,18259,
Fri Feb 20 2015,7:00 pm,Indiana Pacers,106,Philadelphia 76ers,95,Box Score,,16777,
Fri Feb 20 2015,10:00 pm,Boston Celtics,101,Sacramento Kings,109,Box Score,,17317,
Fri Feb 20 2015,9:00 pm,Portland Trail Blazers,76,Utah Jazz,92,Box Score,,19911,
Fri Feb 20 2015,8:00 pm,Cleveland Cavaliers,127,Washington Wizards,89,Box Score,,20356,
Sat Feb 21 2015,8:00 pm,Phoenix Suns,107,Chicago Bulls,112,Box Score,,22292,
Sat Feb 21 2015,7:00 pm,Oklahoma City Thunder,110,Charlotte Hornets,103,Box Score,,19303,
Sat Feb 21 2015,8:00 pm,Toronto Raptors,76,Houston Rockets,98,Box Score,,18329,
Sat Feb 21 2015,10:00 pm,Sacramento Kings,99,Los Angeles Clippers,126,Box Score,,19133,
Sat Feb 21 2015,7:30 pm,New Orleans Pelicans,105,Miami Heat,91,Box Score,,19982,
Sun Feb 22 2015,7:30 pm,Charlotte Hornets,81,Dallas Mavericks,92,Box Score,,20347,
Sun Feb 22 2015,3:30 pm,Washington Wizards,89,Detroit Pistons,106,Box Score,,18371,
Sun Feb 22 2015,6:00 pm,Golden State Warriors,98,Indiana Pacers,104,Box Score,,17789,
Sun Feb 22 2015,9:30 pm,Boston Celtics,111,Los Angeles Lakers,118,Box Score,OT,18997,
Sun Feb 22 2015,3:30 pm,Atlanta Hawks,97,Milwaukee Bucks,86,Box Score,,14787,
Sun Feb 22 2015,1:00 pm,Cleveland Cavaliers,101,New York Knicks,83,Box Score,,19812,
Sun Feb 22 2015,7:00 pm,Denver Nuggets,94,Oklahoma City Thunder,119,Box Score,,18203,
Sun Feb 22 2015,6:00 pm,Philadelphia 76ers,98,Orlando Magic,103,Box Score,,16108,
Sun Feb 22 2015,9:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,92,Box Score,,19782,
Mon Feb 23 2015,8:00 pm,Milwaukee Bucks,71,Chicago Bulls,87,Box Score,,21434,
Mon Feb 23 2015,9:00 pm,Brooklyn Nets,110,Denver Nuggets,82,Box Score,,13127,
Mon Feb 23 2015,8:00 pm,Minnesota Timberwolves,102,Houston Rockets,113,Box Score,,18240,
Mon Feb 23 2015,10:30 pm,Memphis Grizzlies,90,Los Angeles Clippers,87,Box Score,,19161,
Mon Feb 23 2015,7:30 pm,Philadelphia 76ers,108,Miami Heat,119,Box Score,,19802,
Mon Feb 23 2015,8:00 pm,Toronto Raptors,97,New Orleans Pelicans,100,Box Score,,16514,
Mon Feb 23 2015,9:00 pm,Boston Celtics,115,Phoenix Suns,110,Box Score,,17076,
Mon Feb 23 2015,9:00 pm,San Antonio Spurs,81,Utah Jazz,90,Box Score,,18782,
Tue Feb 24 2015,8:30 pm,Toronto Raptors,92,Dallas Mavericks,99,Box Score,,20151,
Tue Feb 24 2015,7:30 pm,Cleveland Cavaliers,102,Detroit Pistons,93,Box Score,,19087,
Tue Feb 24 2015,8:00 pm,Indiana Pacers,92,Oklahoma City Thunder,105,Box Score,,18203,
Tue Feb 24 2015,7:00 pm,Golden State Warriors,114,Washington Wizards,107,Box Score,,20356,
Wed Feb 25 2015,7:30 pm,Dallas Mavericks,87,Atlanta Hawks,104,Box Score,,16126,
Wed Feb 25 2015,7:30 pm,New York Knicks,94,Boston Celtics,115,Box Score,,16899,
Wed Feb 25 2015,8:00 pm,Charlotte Hornets,98,Chicago Bulls,86,Box Score,,21509,
Wed Feb 25 2015,9:00 pm,Phoenix Suns,110,Denver Nuggets,96,Box Score,,12813,
Wed Feb 25 2015,8:00 pm,Los Angeles Clippers,105,Houston Rockets,110,Box Score,,18154,
Wed Feb 25 2015,8:00 pm,Philadelphia 76ers,88,Milwaukee Bucks,104,Box Score,,12763,
Wed Feb 25 2015,8:00 pm,Washington Wizards,77,Minnesota Timberwolves,97,Box Score,,19856,
Wed Feb 25 2015,8:00 pm,Brooklyn Nets,96,New Orleans Pelicans,102,Box Score,,16097,
Wed Feb 25 2015,7:00 pm,Miami Heat,93,Orlando Magic,90,Box Score,OT,18309,
Wed Feb 25 2015,10:30 pm,San Antonio Spurs,95,Portland Trail Blazers,111,Box Score,,19650,
Wed Feb 25 2015,10:00 pm,Memphis Grizzlies,90,Sacramento Kings,102,Box Score,,16794,
Wed Feb 25 2015,9:00 pm,Los Angeles Lakers,100,Utah Jazz,97,Box Score,,19911,
Thu Feb 26 2015,8:00 pm,Golden State Warriors,99,Cleveland Cavaliers,110,Box Score,,20562,
Thu Feb 26 2015,10:30 pm,Oklahoma City Thunder,113,Phoenix Suns,117,Box Score,OT,17514,
Fri Feb 27 2015,7:30 pm,Orlando Magic,88,Atlanta Hawks,95,Box Score,,18968,
Fri Feb 27 2015,7:30 pm,Charlotte Hornets,98,Boston Celtics,106,Box Score,,18624,
Fri Feb 27 2015,8:00 pm,Minnesota Timberwolves,89,Chicago Bulls,96,Box Score,,21635,
Fri Feb 27 2015,9:00 pm,Utah Jazz,104,Denver Nuggets,82,Box Score,,15002,
Fri Feb 27 2015,7:30 pm,New York Knicks,121,Detroit Pistons,115,Box Score,2OT,16182,
Fri Feb 27 2015,8:00 pm,Brooklyn Nets,98,Houston Rockets,102,Box Score,,18139,
Fri Feb 27 2015,7:00 pm,Cleveland Cavaliers,86,Indiana Pacers,93,Box Score,,18165,
Fri Feb 27 2015,10:30 pm,Milwaukee Bucks,93,Los Angeles Lakers,101,Box Score,,18997,
Fri Feb 27 2015,8:00 pm,Los Angeles Clippers,97,Memphis Grizzlies,79,Box Score,,18119,
Fri Feb 27 2015,8:00 pm,Miami Heat,102,New Orleans Pelicans,104,Box Score,,17797,
Fri Feb 27 2015,7:00 pm,Washington Wizards,81,Philadelphia 76ers,89,Box Score,,18089,
Fri Feb 27 2015,10:30 pm,Oklahoma City Thunder,112,Portland Trail Blazers,115,Box Score,,19962,
Fri Feb 27 2015,10:00 pm,San Antonio Spurs,107,Sacramento Kings,96,Box Score,,17317,
Fri Feb 27 2015,7:30 pm,Golden State Warriors,113,Toronto Raptors,89,Box Score,,19800,
Sat Feb 28 2015,8:30 pm,Brooklyn Nets,104,Dallas Mavericks,94,Box Score,,20367,
Sat Feb 28 2015,7:30 pm,Atlanta Hawks,93,Miami Heat,91,Box Score,,19733,
Sat Feb 28 2015,8:00 pm,Memphis Grizzlies,101,Minnesota Timberwolves,97,Box Score,,19356,
Sat Feb 28 2015,7:30 pm,Toronto Raptors,98,New York Knicks,103,Box Score,,19812,
Sat Feb 28 2015,9:00 pm,San Antonio Spurs,101,Phoenix Suns,74,Box Score,,18055,
Sat Feb 28 2015,9:00 pm,Milwaukee Bucks,75,Utah Jazz,82,Box Score,,19515,
Sat Feb 28 2015,7:00 pm,Detroit Pistons,95,Washington Wizards,99,Box Score,,20356,
Sun Mar 1 2015,6:00 pm,Golden State Warriors,106,Boston Celtics,101,Box Score,,18624,
Sun Mar 1 2015,1:00 pm,Los Angeles Clippers,96,Chicago Bulls,86,Box Score,,21680,
Sun Mar 1 2015,8:00 pm,New Orleans Pelicans,99,Denver Nuggets,92,Box Score,,13109,
Sun Mar 1 2015,3:30 pm,Cleveland Cavaliers,103,Houston Rockets,105,Box Score,OT,18345,
Sun Mar 1 2015,6:00 pm,Philadelphia 76ers,74,Indiana Pacers,94,Box Score,,16581,
Sun Mar 1 2015,6:30 pm,Oklahoma City Thunder,108,Los Angeles Lakers,101,Box Score,,18997,
Sun Mar 1 2015,6:00 pm,Charlotte Hornets,98,Orlando Magic,83,Box Score,,15422,
Sun Mar 1 2015,6:00 pm,Portland Trail Blazers,110,Sacramento Kings,99,Box Score,,16776,
Mon Mar 2 2015,7:30 pm,Golden State Warriors,108,Brooklyn Nets,110,Box Score,,17732,
Mon Mar 2 2015,8:30 pm,New Orleans Pelicans,93,Dallas Mavericks,102,Box Score,,20367,
Mon Mar 2 2015,7:30 pm,Phoenix Suns,98,Miami Heat,115,Box Score,,19600,
Mon Mar 2 2015,8:00 pm,Los Angeles Clippers,110,Minnesota Timberwolves,105,Box Score,,18239,
Mon Mar 2 2015,7:00 pm,Toronto Raptors,114,Philadelphia 76ers,103,Box Score,,10742,
Tue Mar 3 2015,7:30 pm,Houston Rockets,96,Atlanta Hawks,104,Box Score,,18968,
Tue Mar 3 2015,8:00 pm,Washington Wizards,92,Chicago Bulls,97,Box Score,,21468,
Tue Mar 3 2015,7:00 pm,Los Angeles Lakers,103,Charlotte Hornets,104,Box Score,,16947,
Tue Mar 3 2015,7:00 pm,Boston Celtics,79,Cleveland Cavaliers,110,Box Score,,20562,
Tue Mar 3 2015,9:00 pm,Milwaukee Bucks,95,Denver Nuggets,106,Box Score,,12234,
Tue Mar 3 2015,8:00 pm,Utah Jazz,93,Memphis Grizzlies,82,Box Score,,16779,
Tue Mar 3 2015,7:00 pm,Sacramento Kings,124,New York Knicks,86,Box Score,,19812,
Wed Mar 4 2015,7:30 pm,Utah Jazz,84,Boston Celtics,85,Box Score,,16354,
Wed Mar 4 2015,7:30 pm,Charlotte Hornets,115,Brooklyn Nets,91,Box Score,,16691,
Wed Mar 4 2015,10:30 pm,Milwaukee Bucks,93,Golden State Warriors,102,Box Score,,19596,
Wed Mar 4 2015,8:00 pm,Memphis Grizzlies,102,Houston Rockets,100,Box Score,,18224,
Wed Mar 4 2015,7:00 pm,New York Knicks,82,Indiana Pacers,105,Box Score,,15981,
Wed Mar 4 2015,10:30 pm,Portland Trail Blazers,98,Los Angeles Clippers,93,Box Score,OT,19060,
Wed Mar 4 2015,8:00 pm,Los Angeles Lakers,94,Miami Heat,100,Box Score,,19600,
Wed Mar 4 2015,8:00 pm,Denver Nuggets,100,Minnesota Timberwolves,85,Box Score,,13848,
Wed Mar 4 2015,8:00 pm,Detroit Pistons,85,New Orleans Pelicans,88,Box Score,,16925,
Wed Mar 4 2015,8:00 pm,Philadelphia 76ers,118,Oklahoma City Thunder,123,Box Score,OT,18203,
Wed Mar 4 2015,7:00 pm,Phoenix Suns,105,Orlando Magic,100,Box Score,,15822,
Wed Mar 4 2015,8:30 pm,Sacramento Kings,85,San Antonio Spurs,112,Box Score,,18581,
Wed Mar 4 2015,7:30 pm,Cleveland Cavaliers,120,Toronto Raptors,112,Box Score,,19800,
Thu Mar 5 2015,8:00 pm,Oklahoma City Thunder,105,Chicago Bulls,108,Box Score,,21696,
Thu Mar 5 2015,10:30 pm,Dallas Mavericks,75,Portland Trail Blazers,94,Box Score,,19499,
Fri Mar 6 2015,7:30 pm,Cleveland Cavaliers,97,Atlanta Hawks,106,Box Score,,19244,
Fri Mar 6 2015,8:00 pm,Phoenix Suns,108,Brooklyn Nets,100,Box Score,OT,16445,
Fri Mar 6 2015,7:00 pm,Toronto Raptors,94,Charlotte Hornets,103,Box Score,,19080,
Fri Mar 6 2015,10:30 pm,Dallas Mavericks,89,Golden State Warriors,104,Box Score,,19596,
Fri Mar 6 2015,8:00 pm,Detroit Pistons,93,Houston Rockets,103,Box Score,,18193,
Fri Mar 6 2015,7:00 pm,Chicago Bulls,84,Indiana Pacers,98,Box Score,,18165,
Fri Mar 6 2015,8:00 pm,Los Angeles Lakers,90,Memphis Grizzlies,97,Box Score,,17399,
Fri Mar 6 2015,8:00 pm,Boston Celtics,104,New Orleans Pelicans,98,Box Score,,17274,
Fri Mar 6 2015,7:00 pm,Sacramento Kings,114,Orlando Magic,119,Box Score,,15112,
Fri Mar 6 2015,7:00 pm,Utah Jazz,89,Philadelphia 76ers,83,Box Score,,15811,
Fri Mar 6 2015,8:30 pm,Denver Nuggets,111,San Antonio Spurs,120,Box Score,,18581,
Fri Mar 6 2015,7:00 pm,Miami Heat,97,Washington Wizards,99,Box Score,,20356,
Sat Mar 7 2015,7:30 pm,Phoenix Suns,79,Cleveland Cavaliers,89,Box Score,,20562,
Sat Mar 7 2015,9:00 pm,Houston Rockets,114,Denver Nuggets,100,Box Score,,15231,
Sat Mar 7 2015,7:30 pm,Sacramento Kings,109,Miami Heat,114,Box Score,OT,19600,
Sat Mar 7 2015,8:30 pm,Washington Wizards,85,Milwaukee Bucks,91,Box Score,,16216,
Sat Mar 7 2015,8:00 pm,Portland Trail Blazers,113,Minnesota Timberwolves,121,Box Score,,19356,
Sat Mar 7 2015,7:00 pm,Memphis Grizzlies,89,New Orleans Pelicans,95,Box Score,,17346,
Sat Mar 7 2015,7:30 pm,Indiana Pacers,92,New York Knicks,86,Box Score,,19812,
Sat Mar 7 2015,7:30 pm,Atlanta Hawks,84,Philadelphia 76ers,92,Box Score,,17624,
Sun Mar 8 2015,6:00 pm,Utah Jazz,95,Brooklyn Nets,88,Box Score,,17041,
Sun Mar 8 2015,6:00 pm,Charlotte Hornets,108,Detroit Pistons,101,Box Score,,15673,
Sun Mar 8 2015,3:30 pm,Los Angeles Clippers,98,Golden State Warriors,106,Box Score,,19596,
Sun Mar 8 2015,9:30 pm,Dallas Mavericks,100,Los Angeles Lakers,93,Box Score,,18997,
Sun Mar 8 2015,7:00 pm,Toronto Raptors,104,Oklahoma City Thunder,108,Box Score,,18203,
Sun Mar 8 2015,6:00 pm,Boston Celtics,98,Orlando Magic,103,Box Score,,17041,
Sun Mar 8 2015,1:00 pm,Chicago Bulls,105,San Antonio Spurs,116,Box Score,,18581,
